简幻欢 (103.85.86.51) 服务器完整列表
总计: 172个 | 离线: 8个 | 正版: 164个
========================================================================================================================

    端口 | 版本                           |       人数 | 类型    | 验证   | 名称
------------------------------------------------------------------------------------------------------------------------
 20214 | 1.21.11                      |   0/50    | 纯净服 | 正版 | 清水镇
 20294 | fabric arclight/FeudalKings  |   0/114514 | 模组服 | 正版 | {'text': '', 'extra': [{'text': '唐', 'ob
 20397 | PaperSpigot 1.8.8            |   0/66    | 插件服 | 正版 | §2----------§3欢迎来到warmland1.8群组服§2------
 20412 | 1.21.1                       |   0/50    | 纯净服 | 离线 | WAS server
 20525 | 26.2                         |   0/20    | 纯净服 | 正版 | 咕咕嘎嘎
 20551 | 1.21.1                       |   0/20    | 纯净服 | 正版 | A Minecraft Server
 20866 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': '1.20.1小镇工程[1.4.1]'}
 20884 | 1.21.1                       |   0/20    | 纯净服 | 正版 | §6HJZhao的服务器
§a机械动力：航空学 启动！！！
 21178 | mohist 1.20.1                |   0/20    | 模组服 | 正版 | {'extra': [{'text': 'A Minecraft Server'
 21283 | 1.21.1                       |   1/10    | 纯净服 | 正版 | §x§e§6§f§2§3§af§x§b§f§d§b§4§da§x§9§9§c§3
 21345 | vSpigot 1.8.8                |   0/2024  | 插件服 | 正版 | §0-                     §f< §6MineSenbaz
 21538 | 1.7.10                       |   0/20    | 纯净服 | 正版 | GT:New Horizons 2.8.4
 21562 | 1.19.4                       |   0/20    | 纯净服 | 正版 | {'text': 'SFE4-SERVER'}
 21656 | 1.21.1                       |   0/69    | 纯净服 | 正版 | {'extra': [{'bold': True, 'extra': [{'co
 21852 | Leaves 1.20.1                |   3/30    | 插件服 | 正版 | {'extra': [{'bold': True, 'strikethrough
 21980 | 26.2                         |   3/20    | 纯净服 | 正版 | A Minecraft Server
 22001 | 1.21.11                      |   0/200   | 纯净服 | 正版 | A NullCraft Minecraft Server
 22070 | 1.21.1                       |   0/20    | 纯净服 | 正版 | HelloNewGeneration1.5.2 Minecraft Server
 22146 | Paper 1.21.1                 |   1/520   | 插件服 | 正版 | {'text': ' ', 'extra': [{'text': '➢ ', '
 22318 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'The Casket of Reveries Server'
 22483 | 26.2                         |   0/20    | 纯净服 | 正版 | §b不御座 §226.2 - Fabric 0.19.3
 22848 | 1.20.1                       |   0/10    | 纯净服 | 正版 | {'text': '这里是地狱吗'}
 22979 | 1.20.1                       |   0/99    | 纯净服 | 正版 | {'text': '§l§bMCX §2Q群：§a617924041   §e勇
 23013 | 1.20.1                       |   0/10    | 纯净服 | 正版 | {'text': 'yeeeeeeeeeeee!'}
 23110 | 26.1                         |   0/20    | 纯净服 | 正版 | SFE4-SERVER
 23268 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 23617 | forge arclight/Trials 1.20.1 |   0/20    | 模组服 | 正版 | {'extra': [{'text': 'A Minecraft Server'
 23915 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': '1.20.1 Forge 47.3.1 ---- Power
 24034 | Purpur 26.1.2                |   0/20    | 插件服 | 正版 | {'text': '', 'extra': [{'text': '', 'ext
 24129 | 1.21.1                       |   0/12    | 纯净服 | 离线 | 希望之境
 24246 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': '金京工艺服务器'}
 24473 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': '法途'}
 24477 | 1.20.1                       |   0/16    | 纯净服 | 正版 | {'text': '1.20.1 - Fabric 0.18.1 —— Powe
 24643 | 1.21.1                       |   0/10    | 纯净服 | 正版 | MagicRail - 1.21.1 - NeoForge 21.1.128
 24800 | 1.12.2                       |   0/20    | 纯净服 | 正版 | {'text': '1.12.2 - Cleanroom 0.3.34-alph
 25082 | 1.20.1                       |   4/14    | 纯净服 | 正版 | {'text': '1.20.1 - Forge 47.4.10 —— Powe
 25222 | Paper 1.21.11                |   0/114514 | 插件服 | 正版 | 我不知道这里该放什么
 25479 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 25555 | Leaf 1.21.11                 |   0/20    | 纯净服 | 正版 | {'text': '                        ', 'ex
 25591 | Paper 1.21.11                |   0/2026  | 插件服 | 正版 | {'text': '', 'extra': [{'text': ' 123456
 25629 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 25986 | 1.21                         |   0/20    | 纯净服 | 正版 | 原神服务器2.0震撼你妈重磅回归！！！
 26388 | 1.21.1                       |   0/20    | 纯净服 | 正版 | HelloNewGeneration1.5.2 Minecraft Server
 26468 | 1.21.1                       |   0/10    | 纯净服 | 正版 | 1.21.1NEO超糖二中校园服务器
 26572 | 1.20.1                       |   0/13    | 纯净服 | 正版 | {'text': '#The Better Creative Server'}
 26618 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'NovaCore|Guns\u2063\u200c\u200
 27482 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': '勇者之章Ⅲ'}
 27515 | 1.21.11                      |   0/114514 | 纯净服 | 正版 | §bColoursMC  §c加入群聊:715702077 §e官网:https
 27527 | 1.21                         |   0/7     | 纯净服 | 正版 | 幻07生存小服～
 27567 | 1.18.2                       |   0/20    | 纯净服 | 正版 | {'extra': [{'extra': [{'color': 'gold', 
 27806 | 26.1                         |   0/10    | 纯净服 | 正版 | SFE4-SERVER
 28031 | Paper 1.21.11                |   1/20    | 插件服 | 正版 | 离宫
 28227 | 26.2                         |   0/6     | 纯净服 | 正版 | 欢迎来到26.2生存服务器
 28427 | Paper 1.21.11                |   0/3     | 插件服 | 正版 | 鼠鼠们的小世界
 28491 | fabric arclight/FeudalKings  |   0/69    | 模组服 | 正版 | {'text': '', 'extra': [{'text': 'M', 'ob
 28518 | 1.21.11                      |   3/2026  | 纯净服 | 正版 | §l§c§k━━━━━━§r§c§6§e§a§b§9§d§l良§6§l辰§r§l
 28929 | Leaves 1.21.8                |   0/30    | 插件服 | 正版 | {'text': '', 'extra': [{'text': '', 'ext
 29115 | 1.21                         |   0/10    | 纯净服 | 正版 | A Minecraft Server
 29245 | 1.20.1                       |   2/10    | 纯净服 | 正版 | {'text': '落幕曲【二周目】'}
 29277 | Paper 26.1.2                 |   2/20    | 插件服 | 正版 | 
 29329 | 1.21.1                       |   5/20    | 纯净服 | 正版 | SFE4-SERVER
 29394 | 1.21.1                       |   0/67    | 纯净服 | 正版 | Glitch Craft 67676767
 29569 | 1.21.1                       |   0/20    | 纯净服 | 正版 | 蜂蜂空坊
 29614 | 1.20.1                       |   0/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server\n3.13.15+1.
 29714 | Leaves 1.21.1                |   0/10    | 插件服 | 离线 | {'text': '', 'extra': [{'text': ' 星 ', '
 29909 | 1.18.2                       |   0/20    | 纯净服 | 正版 | {'text': 'SFE4-SERVER'}
 30439 | 1.21.1                       |   3/20    | 纯净服 | 正版 | A Minecraft Server
 30462 | 1.18.2                       |   0/5     | 纯净服 | 正版 | {'text': '终焉决斗'}
 30611 | 1.20.1                       |   1/20    | 纯净服 | 正版 | {'text': 'A Minecraft Server'}
 30679 | Paper 26.2                   |   0/50    | 插件服 | 正版 | {'text': '', 'extra': [{'text': '草原探险互通服
 30813 | 1.21.1                       |   0/20    | 纯净服 | 正版 | §3一个优质的纯生存小服§6生存养老§服务器服务很好§1欢迎游玩
 30856 | Paper 1.21.11                |   0/100   | 插件服 | 正版 | {'text': '                    ✨ ', 'extr
 31011 | 26.1.2                       |   0/20    | 纯净服 | 正版 | 26.1.2 - Fabric 0.19.2 —— Powered by SFE
 31245 | 26.2                         |   0/20    | 纯净服 | 正版 | A Minecraft Server
 31313 | 1.20.1                       |   0/2026  | 纯净服 | 正版 | {'text': '§b§l火教集团附属服务器\n§a§l打倒杂烩集团，战无不胜
 31318 | 1.21.1                       |   0/8     | 纯净服 | 正版 | Godmoon's server
